Player,Salary,Age,FG,RB,AST,STL,BLK,PTS
Jason Richardson,5799.625,32,4.090909090909091,3.8484848484848486,1.5454545454545454,1.2121212121212122,0.45454545454545453,10.515151515151516
Jason Smith,2500.0,26,3.2745098039215685,3.6470588235294117,0.6666666666666666,0.29411764705882354,0.8823529411764706,8.235294117647058
Jason Terry,5000.0,35,3.5569620253164556,2.0126582278481013,2.5063291139240507,0.8354430379746836,0.13924050632911392,10.113924050632912
Jason Thompson,5250.0,26,4.560975609756097,6.695121951219512,1.024390243902439,0.5853658536585366,0.7439024390243902,10.865853658536585
JaVale McGee,10000.0,25,3.8354430379746836,4.822784810126582,0.3037974683544304,0.379746835443038,1.9873417721518987,9.075949367088608
Jeff Adrien,653.356,26,1.3846153846153846,3.769230769230769,0.6923076923076923,0.34615384615384615,0.5192307692307693,4.019230769230769
Jeff Green,8385.0,26,4.6419753086419755,3.925925925925926,1.5802469135802468,0.691358024691358,0.8395061728395061,12.790123456790123
Jeff Pendergraph,1500.0,25,1.6486486486486487,2.810810810810811,0.40540540540540543,0.16216216216216217,0.32432432432432434,3.918918918918919
Jeff Taylor,575.0,23,2.2337662337662336,1.948051948051948,0.8181818181818182,0.6103896103896104,0.19480519480519481,6.12987012987013
Jeff Teague,2433.077,24,5.4875,2.25,7.2375,1.4625,0.35,14.575
Jeremy Evans,1794.872,25,0.7297297297297297,1.5675675675675675,0.2972972972972973,0.21621621621621623,0.35135135135135137,2.027027027027027
Jeremy Lamb,2020.2,20,1.0434782608695652,0.782608695652174,0.21739130434782608,0.08695652173913043,0.08695652173913043,3.0869565217391304
Jeremy Lin,8374.646,24,4.829268292682927,3.0121951219512195,6.060975609756097,1.6341463414634145,0.35365853658536583,13.353658536585366
Jeremy Pargo,1000.0,26,2.5384615384615383,1.2564102564102564,2.358974358974359,0.3333333333333333,0.05128205128205128,6.794871794871795
Jerry Stackhouse,854.389,38,1.7837837837837838,0.8918918918918919,0.9459459459459459,0.1891891891891892,0.10810810810810811,4.918918918918919
Jerryd Bayless,3000.0,24,3.25,2.2,3.3,0.7375,0.2125,8.6625
Jimmer Fredette,2339.04,23,2.4927536231884058,1.0289855072463767,1.3478260869565217,0.4492753623188406,0.043478260869565216,7.159420289855072
Jimmy Butler,1066.92,23,2.9146341463414633,4.0,1.4024390243902438,0.9512195121951219,0.3780487804878049,8.597560975609756
Joakim Noah,11300.0,27,4.590909090909091,11.106060606060606,3.9696969696969697,1.1818181818181819,2.1363636363636362,11.878787878787879
Jodie Meeks,1500.0,25,2.628205128205128,2.1923076923076925,0.8846153846153846,0.7435897435897436,0.0641025641025641,7.923076923076923
Joe Johnson,19752.645,31,6.180555555555555,3.0277777777777777,3.513888888888889,0.6805555555555556,0.19444444444444445,16.25
Johan Petro,3500.0,27,1.5483870967741935,3.6129032258064515,0.5161290322580645,0.3225806451612903,0.2903225806451613,3.4838709677419355
John Henson,1823.28,22,2.5714285714285716,4.714285714285714,0.49206349206349204,0.30158730158730157,0.6666666666666666,6.031746031746032
John Jenkins,1204.56,21,2.1475409836065573,1.540983606557377,0.9180327868852459,0.19672131147540983,0.16393442622950818,6.131147540983607
John Lucas,1500.0,30,2.0476190476190474,1.0317460317460319,1.6666666666666667,0.36507936507936506,0.015873015873015872,5.285714285714286
John Salmons,8083.0,33,3.210526315789474,2.723684210526316,2.973684210526316,0.6710526315789473,0.32894736842105265,8.842105263157896
John Wall,5915.88,22,6.612244897959184,4.0,7.612244897959184,1.3265306122448979,0.7551020408163265,18.489795918367346
Jonas Jerebko,4500.0,25,2.8979591836734695,3.7755102040816326,0.8775510204081632,0.7755102040816326,0.16326530612244897,7.6938775510204085
Jonas Valanciunas,3374.64,20,3.2903225806451615,6.0,0.7258064516129032,0.27419354838709675,1.2580645161290323,8.935483870967742
Jordan Crawford,1198.68,24,4.3,2.9857142857142858,3.2142857142857144,0.5571428571428572,0.1,11.628571428571428
Jordan Hamilton,1121.52,22,2.1,2.375,0.575,0.375,0.2,5.2
Jordan Hill,3632.527,25,2.6551724137931036,5.724137931034483,0.4482758620689655,0.27586206896551724,0.6551724137931034,6.689655172413793
Jose Calderon,10561.982,31,4.273972602739726,2.410958904109589,7.095890410958904,0.7945205479452054,0.1095890410958904,11.315068493150685
Josh McRoberts,3135.0,25,2.328358208955224,4.850746268656716,2.1044776119402986,0.47761194029850745,0.40298507462686567,5.985074626865671
Josh Smith,13200.0,27,7.2368421052631575,8.407894736842104,4.223684210526316,1.236842105263158,1.7894736842105263,17.460526315789473
Jrue Holiday,2674.852,22,7.115384615384615,4.217948717948718,8.012820512820513,1.5769230769230769,0.41025641025641024,17.73076923076923
Kawhi Leonard,1809.84,21,4.482758620689655,5.9655172413793105,1.603448275862069,1.6724137931034482,0.5517241379310345,11.879310344827585
Keith Bogans,854.389,32,1.4594594594594594,1.6216216216216217,1.027027027027027,0.3783783783783784,0.05405405405405406,4.202702702702703
Kemba Walker,2462.4,22,6.414634146341464,3.451219512195122,5.7439024390243905,1.951219512195122,0.3780487804878049,17.74390243902439
Kendall Marshall,1919.16,21,1.1666666666666667,0.875,2.9791666666666665,0.4583333333333333,0.08333333333333333,2.9791666666666665
Kendrick Perkins,8300.531,28,1.8333333333333333,5.9743589743589745,1.4230769230769231,0.5512820512820513,1.064102564102564,4.230769230769231
Kent Bazemore,473.604,23,0.7049180327868853,0.36065573770491804,0.36065573770491804,0.2786885245901639,0.06557377049180328,2.0163934426229506
Kevin Durant,15032.144,24,9.024691358024691,7.901234567901234,4.617283950617284,1.4320987654320987,1.2962962962962963,28.14814814814815
Kevin Garnett,11566.265,36,6.205882352941177,7.794117647058823,2.338235294117647,1.1470588235294117,0.9117647058823529,14.764705882352942
Kevin Love,6112.463,24,5.833333333333333,14.0,2.3333333333333335,0.7222222222222222,0.5,18.333333333333332
Kevin Martin,12439.675,29,4.545454545454546,2.311688311688312,1.3766233766233766,0.935064935064935,0.1038961038961039,13.987012987012987
Khris Middleton,473.604,21,2.2962962962962963,1.8518518518518519,1.037037037037037,0.5555555555555556,0.14814814814814814,6.111111111111111
Kim English,473.604,24,1.024390243902439,0.9024390243902439,0.6341463414634146,0.3902439024390244,0.07317073170731707,2.902439024390244
Kirk Hinrich,3941.0,32,2.65,2.6333333333333333,5.233333333333333,1.05,0.4166666666666667,7.65
Klay Thompson,2222.16,22,6.195121951219512,3.731707317073171,2.231707317073171,1.048780487804878,0.5487804878048781,16.573170731707318
Kobe Bryant,27849.149,34,9.461538461538462,5.551282051282051,6.012820512820513,1.358974358974359,0.32051282051282054,27.346153846153847
Kosta Koufos,3000.0,23,3.6419753086419755,6.938271604938271,0.3950617283950617,0.5432098765432098,1.271604938271605,8.0
Kris Humphries,12000.0,27,2.1384615384615384,5.615384615384615,0.49230769230769234,0.24615384615384617,0.5076923076923077,5.769230769230769
Kurt Thomas,1352.181,40,1.1538461538461537,2.282051282051282,0.5384615384615384,0.2564102564102564,0.41025641025641024,2.4871794871794872
